,hour,SegmentOffer,SegmentDispatch,SegmentEmissions,MaxDual,MinDual,Zone,LMP,MarginalCost,Profit,PreviousOffer
123_CT_4-2,1,29.803316,0.000000,0.000000,877.409089,0.000000,123,23.334982,29.803316,-0.0,29.803316
123_CT_4-3,1,31.089986,0.000000,0.000000,876.122419,0.000000,123,23.334982,31.089986,-0.0,31.089986
123_CT_5-0,1,26.265946,0.000000,0.000000,880.946459,0.000000,123,23.334982,26.265946,-0.0,26.265946
123_CT_5-1,1,26.265946,0.000000,0.000000,880.946459,0.000000,123,23.334982,26.265946,-0.0,26.265946
123_CT_5-2,1,29.803316,0.000000,0.000000,877.409089,0.000000,123,23.334982,29.803316,-0.0,29.803316
123_CT_5-3,1,31.089986,0.000000,0.000000,876.122419,0.000000,123,23.334982,31.089986,-0.0,31.089986
201_CT_1-0,1,82.474369,0.000000,0.000000,910.543466,0.000000,201,23.334982,82.474369,-0.0,82.474369
201_CT_1-1,1,82.474369,0.000000,0.000000,910.543466,0.000000,201,23.334982,82.474369,-0.0,82.474369
201_CT_1-2,1,83.902586,0.000000,0.000000,909.115249,0.000000,201,23.334982,83.902586,-0.0,83.902586
201_CT_1-3,1,111.587231,0.000000,0.000000,881.430604,0.000000,201,23.334982,111.587231,-0.0,111.587231
201_CT_2-0,1,82.474369,0.000000,0.000000,910.543466,0.000000,201,23.334982,82.474369,-0.0,82.474369
201_CT_2-1,1,82.474369,0.000000,0.000000,910.543466,0.000000,201,23.334982,82.474369,-0.0,82.474369
201_CT_2-2,1,83.902586,0.000000,0.000000,909.115249,0.000000,201,23.334982,83.902586,-0.0,83.902586
201_CT_2-3,1,111.587231,0.000000,0.000000,881.430604,0.000000,201,23.334982,111.587231,-0.0,111.587231
201_STEAM_3-0,1,22.186325,30.000000,29.990823,970.831509,0.000000,201,23.334982,22.186325,34.45971,22.186325
201_STEAM_3-1,1,22.186325,15.333333,15.328643,970.831509,0.000000,201,23.334982,22.186325,17.612740283781,22.186325
201_STEAM_3-2,1,23.444149,15.333333,16.197680,969.573685,0.000000,201,23.334982,23.444149,-1.67389396361099,23.444149
201_STEAM_3-3,1,25.758968,15.333333,17.797000,967.258866,0.000000,201,23.334982,25.758968,-37.167784525337986,25.758968
202_CT_1-0,1,81.097898,0.000000,0.000000,0.000000,81.097898,202,23.334982,81.097898,-0.0,81.097898
202_CT_1-1,1,81.097898,0.000000,0.000000,0.000000,81.097898,202,23.334982,81.097898,-0.0,81.097898
202_CT_1-2,1,87.369635,0.000000,0.000000,0.000000,87.369635,202,23.334982,87.369635,-0.0,87.369635
202_CT_1-3,1,97.843228,0.000000,0.000000,0.000000,97.843228,202,23.334982,97.843228,-0.0,97.843228
202_CT_2-0,1,81.097898,0.000000,0.000000,0.000000,81.097898,202,23.334982,81.097898,-0.0,81.097898
202_CT_2-1,1,81.097898,0.000000,0.000000,0.000000,81.097898,202,23.334982,81.097898,-0.0,81.097898
202_CT_2-2,1,87.369635,0.000000,0.000000,0.000000,87.369635,202,23.334982,87.369635,-0.0,87.369635
202_CT_2-3,1,97.843228,0.000000,0.000000,0.000000,97.843228,202,23.334982,97.843228,-0.0,97.843228
202_STEAM_3-0,1,21.116646,30.000000,28.544862,0.000000,21.116646,202,23.334982,21.116646,66.55008000000002,21.116646
202_STEAM_3-1,1,21.116646,15.333333,14.589596,0.000000,21.116646,202,23.334982,21.116646,34.014484593888014,21.116646
202_STEAM_3-2,1,21.287879,15.333333,14.707902,0.000000,21.287879,202,23.334982,21.287879,31.388911984298996,21.287879
202_STEAM_3-3,1,27.274699,0.000000,0.000000,0.000000,27.274699,202,23.334982,27.274699,-0.0,27.274699
202_STEAM_4-0,1,21.116646,30.000000,28.544862,0.000000,21.116646,202,23.334982,21.116646,66.55008000000002,21.116646
202_STEAM_4-1,1,21.116646,15.333333,14.589596,0.000000,21.116646,202,23.334982,21.116646,34.014484593888014,21.116646
202_STEAM_4-2,1,21.287879,15.333333,14.707902,0.000000,21.287879,202,23.334982,21.287879,31.388911984298996,21.287879
202_STEAM_4-3,1,27.274699,0.000000,0.000000,0.000000,27.274699,202,23.334982,27.274699,-0.0,27.274699
207_CT_1-0,1,34.223085,0.000000,0.000000,0.000000,34.223085,207,23.334982,34.223085,-0.0,34.223085
207_CT_1-1,1,34.223085,0.000000,0.000000,0.000000,34.223085,207,23.334982,34.223085,-0.0,34.223085
207_CT_1-2,1,36.854733,0.000000,0.000000,0.000000,36.854733,207,23.334982,36.854733,-0.0,36.854733
207_CT_1-3,1,42.584495,0.000000,0.000000,0.000000,42.584495,207,23.334982,42.584495,-0.0,42.584495
207_CT_2-0,1,34.223085,0.000000,0.000000,0.000000,34.223085,207,23.334982,34.223085,-0.0,34.223085
207_CT_2-1,1,34.223085,0.000000,0.000000,0.000000,34.223085,207,23.334982,34.223085,-0.0,34.223085
207_CT_2-2,1,36.854733,0.000000,0.000000,0.000000,36.854733,207,23.334982,36.854733,-0.0,36.854733
207_CT_2-3,1,42.584495,0.000000,0.000000,0.000000,42.584495,207,23.334982,42.584495,-0.0,42.584495
213_CC_3-0,1,24.621651,0.000000,0.000000,1106.121066,0.000000,213,23.334982,24.621651,-0.0,24.621651
213_CC_3-1,1,24.621651,0.000000,0.000000,1106.121066,0.000000,213,23.334982,24.621651,-0.0,24.621651
213_CC_3-2,1,27.128908,0.000000,0.000000,1103.613809,0.000000,213,23.334982,27.128908,-0.0,27.128908
213_CC_3-3,1,34.009288,0.000000,0.000000,1096.733430,0.000000,213,23.334982,34.009288,-0.0,34.009288
213_CT_1-0,1,26.817931,0.000000,0.000000,1103.924787,0.000000,213,23.334982,26.817931,-0.0,26.817931
213_CT_1-1,1,26.817931,0.000000,0.000000,1103.924787,0.000000,213,23.334982,26.817931,-0.0,26.817931
213_CT_1-2,1,29.550646,0.000000,0.000000,1101.192071,0.000000,213,23.334982,29.550646,-0.0,29.550646
213_CT_1-3,1,30.308654,0.000000,0.000000,1100.434063,0.000000,213,23.334982,30.308654,-0.0,30.308654
213_CT_2-0,1,26.817931,0.000000,0.000000,1103.924787,0.000000,213,23.334982,26.817931,-0.0,26.817931
213_CT_2-1,1,26.817931,0.000000,0.000000,1103.924787,0.000000,213,23.334982,26.817931,-0.0,26.817931
213_CT_2-2,1,29.550646,0.000000,0.000000,1101.192071,0.000000,213,23.334982,29.550646,-0.0,29.550646
213_CT_2-3,1,30.308654,0.000000,0.000000,1100.434063,0.000000,213,23.334982,30.308654,-0.0,30.308654
215_CT_4-0,1,25.919983,0.000000,0.000000,757.789862,0.000000,215,23.334982,25.919983,-0.0,25.919983
215_CT_4-1,1,25.919983,0.000000,0.000000,757.789862,0.000000,215,23.334982,25.919983,-0.0,25.919983
215_CT_4-2,1,27.160006,0.000000,0.000000,756.549839,0.000000,215,23.334982,27.160006,-0.0,27.160006
215_CT_4-3,1,32.734280,0.000000,0.000000,750.975566,0.000000,215,23.334982,32.734280,-0.0,32.734280
215_CT_5-0,1,25.919983,0.000000,0.000000,757.789862,0.000000,215,23.334982,25.919983,-0.0,25.919983
215_CT_5-1,1,25.919983,0.000000,0.000000,757.789862,0.000000,215,23.334982,25.919983,-0.0,25.919983
215_CT_5-2,1,27.160006,0.000000,0.000000,756.549839,0.000000,215,23.334982,27.160006,-0.0,27.160006
215_CT_5-3,1,32.734280,0.000000,0.000000,750.975566,0.000000,215,23.334982,32.734280,-0.0,32.734280
216_STEAM_1-0,1,18.573516,62.000000,51.888076,893.651488,0.000000,216,23.334982,18.573516,295.21089199999994,18.573516
216_STEAM_1-1,1,18.573516,31.000000,25.944038,893.651488,0.000000,216,23.334982,18.573516,147.60544599999997,18.573516
216_STEAM_1-2,1,21.843859,31.000000,30.512150,890.381145,0.000000,216,23.334982,21.843859,46.224813000000054,21.843859
216_STEAM_1-3,1,23.657662,31.000000,33.045724,888.567342,0.000000,216,23.334982,23.657662,-10.003079999999947,23.657662
218_CC_1-0,1,20.944341,170.000000,49.025711,905.321667,0.000000,218,23.334982,20.944341,406.4089699999998,20.944341
218_CC_1-1,1,20.944341,61.666667,17.783836,905.321667,0.000000,218,23.334982,20.944341,147.42286246354692,20.944341
218_CC_1-2,1,21.671252,61.666667,18.401056,904.594757,0.000000,218,23.334982,21.671252,102.59668388791006,21.671252
218_CC_1-3,1,29.768331,0.000000,0.000000,896.497678,0.000000,218,23.334982,29.768331,-0.0,29.768331
221_CC_1-0,1,23.128959,170.000000,54.139380,1140.008107,0.000000,221,23.334982,23.128959,35.02391000000031,23.128959
221_CC_1-1,1,23.128959,61.666667,19.638795,1140.008107,0.000000,221,23.334982,23.128959,12.704751735341112,23.128959
221_CC_1-2,1,26.324254,0.000000,0.000000,1136.812812,0.000000,221,23.334982,26.324254,-0.0,26.324254
221_CC_1-3,1,36.123935,0.000000,0.000000,1127.013130,0.000000,221,23.334982,36.123935,-0.0,36.123935
223_STEAM_1-0,1,19.034366,62.000000,53.175534,955.206539,0.000000,223,23.334982,19.034366,266.6381920000001,19.034366
223_STEAM_1-1,1,19.034366,31.000000,26.587767,955.206539,0.000000,223,23.334982,19.034366,133.31909600000006,19.034366
223_STEAM_1-2,1,19.689703,31.000000,27.503161,954.551202,0.000000,223,23.334982,19.689703,113.00364899999995,19.689703
223_STEAM_1-3,1,20.419029,31.000000,28.521906,953.821875,0.000000,223,23.334982,20.419029,90.39454300000006,20.419029
223_STEAM_2-0,1,19.034366,62.000000,53.175534,955.206539,0.000000,223,23.334982,19.034366,266.6381920000001,19.034366
223_STEAM_2-1,1,19.034366,31.000000,26.587767,955.206539,0.000000,223,23.334982,19.034366,133.31909600000006,19.034366
223_STEAM_2-2,1,19.689703,31.000000,27.503161,954.551202,0.000000,223,23.334982,19.689703,113.00364899999995,19.689703
223_STEAM_2-3,1,20.419029,31.000000,28.521906,953.821875,0.000000,223,23.334982,20.419029,90.39454300000006,20.419029
223_STEAM_3-0,1,18.861019,140.000000,118.980266,955.379886,0.000000,223,23.334982,18.861019,626.3548200000001,18.861019
223_STEAM_3-1,1,18.861019,70.000000,59.490133,955.379886,0.000000,223,23.334982,18.861019,313.17741000000007,18.861019
223_STEAM_3-2,1,23.069973,70.000000,72.765728,951.170932,0.000000,223,23.334982,23.069973,18.55062999999994,23.069973
223_STEAM_3-3,1,24.617414,70.000000,77.646559,949.623491,0.000000,223,23.334982,24.617414,-89.77024,24.617414
223_CT_4-0,1,37.297876,0.000000,0.000000,936.943029,0.000000,223,23.334982,37.297876,-0.0,37.297876
223_CT_4-1,1,37.297876,0.000000,0.000000,936.943029,0.000000,223,23.334982,37.297876,-0.0,37.297876
223_CT_4-2,1,39.746825,0.000000,0.000000,934.494080,0.000000,223,23.334982,39.746825,-0.0,39.746825
223_CT_4-3,1,41.499961,0.000000,0.000000,932.740944,0.000000,223,23.334982,41.499961,-0.0,41.499961
223_CT_5-0,1,37.297876,0.000000,0.000000,936.943029,0.000000,223,23.334982,37.297876,-0.0,37.297876
223_CT_5-1,1,37.297876,0.000000,0.000000,936.943029,0.000000,223,23.334982,37.297876,-0.0,37.297876
223_CT_5-2,1,39.746825,0.000000,0.000000,934.494080,0.000000,223,23.334982,39.746825,-0.0,39.746825
223_CT_5-3,1,41.499961,0.000000,0.000000,932.740944,0.000000,223,23.334982,41.499961,-0.0,41.499961
223_CT_6-0,1,37.297876,0.000000,0.000000,936.943029,0.000000,223,23.334982,37.297876,-0.0,37.297876
223_CT_6-1,1,37.297876,0.000000,0.000000,936.943029,0.000000,223,23.334982,37.297876,-0.0,37.297876
223_CT_6-2,1,39.746825,0.000000,0.000000,934.494080,0.000000,223,23.334982,39.746825,-0.0,39.746825
223_CT_6-3,1,41.499961,0.000000,0.000000,932.740944,0.000000,223,23.334982,41.499961,-0.0,41.499961
301_CT_1-0,1,87.255791,0.000000,0.000000,507.731612,0.000000,301,23.334982,87.255791,-0.0,87.255791
301_CT_1-1,1,87.255791,0.000000,0.000000,507.731612,0.000000,301,23.334982,87.255791,-0.0,87.255791
301_CT_1-2,1,99.695770,0.000000,0.000000,495.291633,0.000000,301,23.334982,99.695770,-0.0,99.695770
301_CT_1-3,1,105.367241,0.000000,0.000000,489.620162,0.000000,301,23.334982,105.367241,-0.0,105.367241
301_CT_2-0,1,87.255791,0.000000,0.000000,507.731612,0.000000,301,23.334982,87.255791,-0.0,87.255791
301_CT_2-1,1,87.255791,0.000000,0.000000,507.731612,0.000000,301,23.334982,87.255791,-0.0,87.255791
301_CT_2-2,1,99.695770,0.000000,0.000000,495.291633,0.000000,301,23.334982,99.695770,-0.0,99.695770
301_CT_2-3,1,105.367241,0.000000,0.000000,489.620162,0.000000,301,23.334982,105.367241,-0.0,105.367241
301_CT_3-0,1,28.469999,0.000000,0.000000,566.517404,0.000000,301,23.334982,28.469999,-0.0,28.469999
301_CT_3-1,1,28.469999,0.000000,0.000000,566.517404,0.000000,301,23.334982,28.469999,-0.0,28.469999
301_CT_3-2,1,29.286315,0.000000,0.000000,565.701088,0.000000,301,23.334982,29.286315,-0.0,29.286315
301_CT_3-3,1,43.742887,0.000000,0.000000,551.244517,0.000000,301,23.334982,43.742887,-0.0,43.742887
301_CT_4-0,1,28.469999,0.000000,0.000000,566.517404,0.000000,301,23.334982,28.469999,-0.0,28.469999
301_CT_4-1,1,28.469999,0.000000,0.000000,566.517404,0.000000,301,23.334982,28.469999,-0.0,28.469999
301_CT_4-2,1,29.286315,0.000000,0.000000,565.701088,0.000000,301,23.334982,29.286315,-0.0,29.286315
301_CT_4-3,1,43.742887,0.000000,0.000000,551.244517,0.000000,301,23.334982,43.742887,-0.0,43.742887
302_CT_1-0,1,87.255791,0.000000,0.000000,992.220703,0.000000,302,23.334982,87.255791,-0.0,87.255791
302_CT_1-1,1,87.255791,0.000000,0.000000,992.220703,0.000000,302,23.334982,87.255791,-0.0,87.255791
302_CT_1-2,1,99.695770,0.000000,0.000000,979.780725,0.000000,302,23.334982,99.695770,-0.0,99.695770
302_CT_1-3,1,105.367241,0.000000,0.000000,974.109253,0.000000,302,23.334982,105.367241,-0.0,105.367241
302_CT_2-0,1,87.255791,0.000000,0.000000,992.220703,0.000000,302,23.334982,87.255791,-0.0,87.255791
302_CT_2-1,1,87.255791,0.000000,0.000000,992.220703,0.000000,302,23.334982,87.255791,-0.0,87.255791
302_CT_2-2,1,99.695770,0.000000,0.000000,979.780725,0.000000,302,23.334982,99.695770,-0.0,99.695770
302_CT_2-3,1,105.367241,0.000000,0.000000,974.109253,0.000000,302,23.334982,105.367241,-0.0,105.367241
302_CT_3-0,1,33.791603,0.000000,0.000000,1045.684891,0.000000,302,23.334982,33.791603,-0.0,33.791603
302_CT_3-1,1,33.791603,0.000000,0.000000,1045.684891,0.000000,302,23.334982,33.791603,-0.0,33.791603
302_CT_3-2,1,38.382410,0.000000,0.000000,1041.094085,0.000000,302,23.334982,38.382410,-0.0,38.382410
302_CT_3-3,1,38.635080,0.000000,0.000000,1040.841415,0.000000,302,23.334982,38.635080,-0.0,38.635080
302_CT_4-0,1,33.791603,0.000000,0.000000,1045.684891,0.000000,302,23.334982,33.791603,-0.0,33.791603
302_CT_4-1,1,33.791603,0.000000,0.000000,1045.684891,0.000000,302,23.334982,33.791603,-0.0,33.791603
302_CT_4-2,1,38.382410,0.000000,0.000000,1041.094085,0.000000,302,23.334982,38.382410,-0.0,38.382410
302_CT_4-3,1,38.635080,0.000000,0.000000,1040.841415,0.000000,302,23.334982,38.635080,-0.0,38.635080
307_CT_1-0,1,27.894691,0.000000,0.000000,972.105309,0.000000,307,23.334982,27.894691,-0.0,27.894691
307_CT_1-1,1,27.894691,0.000000,0.000000,972.105309,0.000000,307,23.334982,27.894691,-0.0,27.894691
307_CT_1-2,1,29.220233,0.000000,0.000000,970.779767,0.000000,307,23.334982,29.220233,-0.0,29.220233
307_CT_1-3,1,35.474770,0.000000,0.000000,964.525230,0.000000,307,23.334982,35.474770,-0.0,35.474770
307_CT_2-0,1,27.894691,0.000000,0.000000,972.105309,0.000000,307,23.334982,27.894691,-0.0,27.894691
307_CT_2-1,1,27.894691,0.000000,0.000000,972.105309,0.000000,307,23.334982,27.894691,-0.0,27.894691
307_CT_2-2,1,29.220233,0.000000,0.000000,970.779767,0.000000,307,23.334982,29.220233,-0.0,29.220233
307_CT_2-3,1,35.474770,0.000000,0.000000,964.525230,0.000000,307,23.334982,35.474770,-0.0,35.474770
313_CC_1-0,1,15.731579,170.000000,36.823878,0.000000,15.731579,313,23.334982,15.731579,1292.57851,15.731579
313_CC_1-1,1,15.731579,61.666667,13.357681,0.000000,15.731579,313,23.334982,15.731579,468.876520867801,15.731579
313_CC_1-2,1,26.755735,0.000000,0.000000,0.000000,26.755735,313,23.334982,26.755735,-0.0,26.755735
313_CC_1-3,1,33.752731,0.000000,0.000000,0.000000,33.752731,313,23.334982,33.752731,-0.0,33.752731
315_STEAM_1-0,1,75.436777,0.000000,0.000000,0.000000,4.058736,315,23.334982,75.436777,-0.0,75.436777
315_STEAM_1-1,1,75.436777,0.000000,0.000000,0.000000,4.058736,315,23.334982,75.436777,-0.0,75.436777
315_STEAM_1-2,1,100.399529,0.000000,0.000000,0.000000,29.021489,315,23.334982,100.399529,-0.0,100.399529
315_STEAM_1-3,1,124.099655,0.000000,0.000000,0.000000,52.721615,315,23.334982,124.099655,-0.0,124.099655
315_STEAM_2-0,1,75.436777,0.000000,0.000000,0.000000,4.058736,315,23.334982,75.436777,-0.0,75.436777
