Gen_Index,Capacity,Fuel_Cost,Pmin,start_cost,Can_Spin,Can_NonSpin,Min_Up,Min_Down,No_Load_Cost,Ramp_Rate,tonneCO2perMWh,CO2price,CO2dollarsperMWh,ZoneLabel,GencoIndex
123_CT_1,55,31.08998556,0,0,1,1,1,1,0,222,0.4280838,0,0,123,2
123_CT_4,55,31.08998556,0,0,1,1,1,1,0,222,0.4280838,0,0,123,2
123_CT_5,55,31.08998556,0,0,1,1,1,1,0,222,0.4280838,0,0,123,2
201_CT_1,20,111.5872308,0,0,1,1,1,1,0,180,0.782500631,0,0,201,2
201_CT_2,20,111.5872308,0,0,1,1,1,1,0,180,0.782500631,0,0,201,2
201_STEAM_3,76,25.75896815,0,0,1,1,1,1,0,0,1.160673889,0,0,201,2
202_CT_1,20,97.8432276,0,0,1,1,1,1,0,180,0.686121403,0,0,202,2
202_CT_2,20,97.8432276,0,0,1,1,1,1,0,180,0.686121403,0,0,202,2
202_STEAM_3,76,27.27469898,0,0,1,1,1,1,0,0,1.228971237,0,0,202,2
202_STEAM_4,76,27.27469898,0,0,1,1,1,1,0,0,1.228971237,0,0,202,2
207_CT_1,55,42.5844951,0,0,1,1,1,1,0,222,0.586353842,0,0,207,2
207_CT_2,55,42.5844951,0,0,1,1,1,1,0,222,0.586353842,0,0,207,2
213_CC_3,355,34.00928778,0,0,1,1,1,1,0,248.4,0.468280216,0,0,213,2
213_CT_1,55,30.30865434,0,0,1,1,1,1,0,222,0.417325505,0,0,213,2
213_CT_2,55,30.30865434,0,0,1,1,1,1,0,222,0.417325505,0,0,213,2
215_CT_4,55,32.73427962,0,0,1,1,1,1,0,222,0.450724391,0,0,215,2
215_CT_5,55,32.73427962,0,0,1,1,1,1,0,222,0.450724391,0,0,215,2
216_STEAM_1,155,23.65766209,0,0,1,1,1,1,0,0,1.065991095,0,0,216,2
218_CC_1,355,29.76833076,0,0,1,1,1,1,0,248.4,0.409885689,0,0,218,2
221_CC_1,355,36.12393546,0,0,1,1,1,1,0,248.4,0.497397194,0,0,221,2
223_STEAM_1,155,20.41902941,0,0,1,1,1,1,0,0,0.920061477,0,0,223,2
223_STEAM_2,155,20.41902941,0,0,1,1,1,1,0,0,0.920061477,0,0,223,2
223_STEAM_3,350,24.61741355,0,0,1,1,1,1,0,0,1.109236556,0,0,223,2
223_CT_4,55,41.49996072,0,0,1,1,1,1,0,222,0.571420687,0,0,223,2
223_CT_5,55,41.49996072,0,0,1,1,1,1,0,222,0.571420687,0,0,223,2
223_CT_6,55,41.49996072,0,0,1,1,1,1,0,222,0.571420687,0,0,223,2
301_CT_1,20,105.3672414,0,0,1,1,1,1,0,180,0.738883224,0,0,301,2
301_CT_2,20,105.3672414,0,0,1,1,1,1,0,180,0.738883224,0,0,301,2
301_CT_3,55,43.74288666,0,0,1,1,1,1,0,222,0.602303952,0,0,301,2
301_CT_4,55,43.74288666,0,0,1,1,1,1,0,222,0.602303952,0,0,301,2
302_CT_1,20,105.3672414,0,0,1,1,1,1,0,180,0.738883224,0,0,302,2
302_CT_2,20,105.3672414,0,0,1,1,1,1,0,180,0.738883224,0,0,302,2
302_CT_3,55,38.63507958,0,0,1,1,1,1,0,222,0.531973605,0,0,302,2
302_CT_4,55,38.63507958,0,0,1,1,1,1,0,222,0.531973605,0,0,302,2
307_CT_1,55,35.47476972,0,0,1,1,1,1,0,222,0.48845871,0,0,307,2
307_CT_2,55,35.47476972,0,0,1,1,1,1,0,222,0.48845871,0,0,307,2
313_CC_1,355,33.75273126,0,0,1,1,1,1,0,248.4,0.464747642,0,0,313,2
315_STEAM_1,12,124.0996554,0,0,1,1,1,1,0,0,0.924633684,0,0,315,2
315_STEAM_2,12,124.0996554,0,0,1,1,1,1,0,0,0.924633684,0,0,315,2
315_STEAM_3,12,124.0996554,0,0,1,1,1,1,0,0,0.924633684,0,0,315,2
315_STEAM_4,12,124.0996554,0,0,1,1,1,1,0,0,0.924633684,0,0,315,2
315_STEAM_5,12,124.0996554,0,0,1,1,1,1,0,0,0.924633684,0,0,315,2
315_CT_6,55,31.8557679,0,0,1,1,1,1,0,222,0.438628,0,0,315,2
315_CT_7,55,31.8557679,0,0,1,1,1,1,0,222,0.438628,0,0,315,2
315_CT_8,55,31.8557679,0,0,1,1,1,1,0,222,0.438628,0,0,315,2
316_STEAM_1,155,27.27469898,0,0,1,1,1,1,0,0,1.228971237,0,0,316,2
318_CC_1,355,31.52924142,0,0,1,1,1,1,0,248.4,0.434131996,0,0,318,2
321_CC_1,355,33.94709226,0,0,1,1,1,1,0,248.4,0.467423834,0,0,321,2
322_CT_5,55,27.89469072,0,0,1,1,1,1,0,222,0.384087191,0,0,322,2
322_CT_6,55,27.89469072,0,0,1,1,1,1,0,222,0.384087191,0,0,322,2
323_CC_1,355,31.72748964,0,0,1,1,1,1,0,248.4,0.436861713,0,0,323,2
323_CC_2,355,31.72748964,0,0,1,1,1,1,0,248.4,0.436861713,0,0,323,2
114_SYNC_COND_1,0,0,0,0,1,1,1,1,0,0,0,0,0,114,2
121_NUCLEAR_1,400,0,0,0,1,1,1,1,0,1200,0,0,0,121,2
122_HYDRO_1,50,0,0,0,1,1,1,1,0,0,0,0,0,122,2
122_HYDRO_2,50,0,0,0,1,1,1,1,0,0,0,0,0,122,2
122_HYDRO_3,50,0,0,0,1,1,1,1,0,0,0,0,0,122,2
122_HYDRO_4,50,0,0,0,1,1,1,1,0,0,0,0,0,122,2
122_HYDRO_5,50,0,0,0,1,1,1,1,0,0,0,0,0,122,2
122_HYDRO_6,50,0,0,0,1,1,1,1,0,0,0,0,0,122,2
201_HYDRO_4,50,0,0,0,1,1,1,1,0,0,0,0,0,201,2
214_SYNC_COND_1,0,0,0,0,1,1,1,1,0,0,0,0,0,214,2
215_HYDRO_1,50,0,0,0,1,1,1,1,0,0,0,0,0,215,2
215_HYDRO_2,50,0,0,0,1,1,1,1,0,0,0,0,0,215,2
215_HYDRO_3,50,0,0,0,1,1,1,1,0,0,0,0,0,215,2
222_HYDRO_1,50,0,0,0,1,1,1,1,0,0,0,0,0,222,2
222_HYDRO_2,50,0,0,0,1,1,1,1,0,0,0,0,0,222,2
222_HYDRO_3,50,0,0,0,1,1,1,1,0,0,0,0,0,222,2
222_HYDRO_4,50,0,0,0,1,1,1,1,0,0,0,0,0,222,2
222_HYDRO_5,50,0,0,0,1,1,1,1,0,0,0,0,0,222,2
222_HYDRO_6,50,0,0,0,1,1,1,1,0,0,0,0,0,222,2
314_SYNC_COND_1,0,0,0,0,1,1,1,1,0,0,0,0,0,314,2
322_HYDRO_1,50,0,0,0,1,1,1,1,0,0,0,0,0,322,2
322_HYDRO_2,50,0,0,0,1,1,1,1,0,0,0,0,0,322,2
322_HYDRO_3,50,0,0,0,1,1,1,1,0,0,0,0,0,322,2
322_HYDRO_4,50,0,0,0,1,1,1,1,0,0,0,0,0,322,2
320_PV_1,51.6,0,0,0,1,1,1,1,0,3096,0,0,0,320,2
314_PV_1,51.6,0,0,0,1,1,1,1,0,3096,0,0,0,314,2
314_PV_2,51.6,0,0,0,1,1,1,1,0,3096,0,0,0,314,2
313_PV_1,95.1,0,0,0,1,1,1,1,0,5706,0,0,0,313,2
314_PV_3,92.7,0,0,0,1,1,1,1,0,5562,0,0,0,314,2
314_PV_4,51.6,0,0,0,1,1,1,1,0,3096,0,0,0,314,2
313_PV_2,93.3,0,0,0,1,1,1,1,0,5598,0,0,0,313,2
310_PV_1,51.7,0,0,0,1,1,1,1,0,3102,0,0,0,310,2
324_PV_1,49.7,0,0,0,1,1,1,1,0,2982,0,0,0,324,2
312_PV_1,94.1,0,0,0,1,1,1,1,0,5646,0,0,0,312,2
310_PV_2,51.6,0,0,0,1,1,1,1,0,3096,0,0,0,310,2
324_PV_2,51.6,0,0,0,1,1,1,1,0,3096,0,0,0,324,2
324_PV_3,51,0,0,0,1,1,1,1,0,3060,0,0,0,324,2
113_PV_1,93.6,0,0,0,1,1,1,1,0,5616,0,0,0,113,2
319_PV_1,188.2,0,0,0,1,1,1,1,0,11292,0,0,0,319,2
215_PV_1,125.1,0,0,0,1,1,1,1,0,7506,0,0,0,215,2
102_PV_1,25.6,0,0,0,1,1,1,1,0,1536,0,0,0,102,2
101_PV_1,25.9,0,0,0,1,1,1,1,0,1554,0,0,0,101,2
102_PV_2,25.3,0,0,0,1,1,1,1,0,1518,0,0,0,102,2
104_PV_1,26.8,0,0,0,1,1,1,1,0,1608,0,0,0,104,2
212_CSP_1,200,0,0,0,1,1,1,1,0,1200,0,0,0,212,2
101_PV_2,26.7,0,0,0,1,1,1,1,0,1602,0,0,0,101,2
101_PV_3,26.2,0,0,0,1,1,1,1,0,1572,0,0,0,101,2
101_PV_4,25.8,0,0,0,1,1,1,1,0,1548,0,0,0,101,2
103_PV_1,61.5,0,0,0,1,1,1,1,0,3690,0,0,0,103,2
119_PV_1,66.6,0,0,0,1,1,1,1,0,3996,0,0,0,119,2
308_RTPV_1,100.9,0,0,0,1,1,1,1,0,6054,0,0,0,308,2
313_RTPV_1,101.7,0,0,0,1,1,1,1,0,6102,0,0,0,313,2
313_RTPV_2,63.1,0,0,0,1,1,1,1,0,3786,0,0,0,313,2
313_RTPV_3,65.4,0,0,0,1,1,1,1,0,3924,0,0,0,313,2
313_RTPV_4,67,0,0,0,1,1,1,1,0,4020,0,0,0,313,2
313_RTPV_5,64.8,0,0,0,1,1,1,1,0,3888,0,0,0,313,2
313_RTPV_6,63.8,0,0,0,1,1,1,1,0,3828,0,0,0,313,2
313_RTPV_7,64.1,0,0,0,1,1,1,1,0,3846,0,0,0,313,2
313_RTPV_8,66.6,0,0,0,1,1,1,1,0,3996,0,0,0,313,2
313_RTPV_9,62.4,0,0,0,1,1,1,1,0,3744,0,0,0,313,2
313_RTPV_10,66.9,0,0,0,1,1,1,1,0,4014,0,0,0,313,2
313_RTPV_11,65.2,0,0,0,1,1,1,1,0,3912,0,0,0,313,2
313_RTPV_12,27.8,0,0,0,1,1,1,1,0,1668,0,0,0,313,2
320_RTPV_1,27.3,0,0,0,1,1,1,1,0,1638,0,0,0,320,2
320_RTPV_2,27,0,0,0,1,1,1,1,0,1620,0,0,0,320,2
320_RTPV_3,28.3,0,0,0,1,1,1,1,0,1698,0,0,0,320,2
313_RTPV_13,27.2,0,0,0,1,1,1,1,0,1632,0,0,0,313,2
320_RTPV_4,27,0,0,0,1,1,1,1,0,1620,0,0,0,320,2
320_RTPV_5,28.2,0,0,0,1,1,1,1,0,1692,0,0,0,320,2
118_RTPV_1,9.3,0,0,0,1,1,1,1,0,558,0,0,0,118,2
118_RTPV_2,9.7,0,0,0,1,1,1,1,0,582,0,0,0,118,2
118_RTPV_3,9.4,0,0,0,1,1,1,1,0,564,0,0,0,118,2
118_RTPV_4,9.1,0,0,0,1,1,1,1,0,546,0,0,0,118,2
118_RTPV_5,9.1,0,0,0,1,1,1,1,0,546,0,0,0,118,2
118_RTPV_6,9.7,0,0,0,1,1,1,1,0,582,0,0,0,118,2
320_RTPV_6,9.4,0,0,0,1,1,1,1,0,564,0,0,0,320,2
118_RTPV_7,11.8,0,0,0,1,1,1,1,0,708,0,0,0,118,2
118_RTPV_8,11.2,0,0,0,1,1,1,1,0,672,0,0,0,118,2
118_RTPV_9,10.3,0,0,0,1,1,1,1,0,618,0,0,0,118,2
118_RTPV_10,4.5,0,0,0,1,1,1,1,0,270,0,0,0,118,2
213_RTPV_1,13.2,0,0,0,1,1,1,1,0,792,0,0,0,213,2
309_WIND_1,148.3,0,0,0,1,1,1,1,0,8898,0,0,0,309,2
317_WIND_1,799.1,0,0,0,1,1,1,1,0,47946,0,0,0,317,2
303_WIND_1,847,0,0,0,1,1,1,1,0,50820,0,0,0,303,2
122_WIND_1,713.5,0,0,0,1,1,1,1,0,42810,0,0,0,122,2
